date_created,date_modified,id,genre_name,description
2016-01-21 02:53:20,2016-01-21 02:53:20,1,Jazz,"A type of music of black American origin characterized by improvisation, syncopation, and usually a regular or forceful rhythm, emerging at the beginning of the 20th century. Brass and woodwind instruments and piano are particularly associated with jazz, although guitar and occasionally violin are also used; styles include Dixieland, swing, bebop, and free jazz."
2016-01-21 02:53:20,2016-01-21 02:53:20,2,R&B,"A form of popular music of African-American origin that arose during the 1940s from blues, with the addition of driving rhythms taken from jazz. It was an immediate precursor of rock and roll."
2016-01-21 02:53:20,2016-01-21 02:53:20,3,Blues,"Melancholic music of black American folk origin, typically in a twelve-bar sequence. It developed in the rural southern US toward the end of the 19th century, finding a wider audience in the 1940s as blacks migrated to the cities. This urban blues gave rise to rhythm and blues and rock and roll."
2016-01-21 02:53:20,2016-01-21 02:53:20,4,Soundtrack,A recording of the musical accompaniment to a movie.
2016-01-21 02:53:20,2016-01-21 02:53:20,5,Indie Rock,"Indie rock is a genre of alternative rock that originated in the United Kingdom in the 1980s. Indie rock was extremely diverse, with subgenres that include indie pop, jangle pop, and lo-fi, among others."
2016-01-21 02:53:20,2016-01-21 02:53:20,6,Reggae,"a style of popular music with a strongly accented subsidiary beat, originating in Jamaica. Reggae evolved in the late 1960s from ska and other local variations on calypso and rhythm and blues, and became widely known in the 1970s through the work of Bob Marley; its lyrics are much influenced by Rastafarian ideas."
